date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:19:07	134/134	---MCZ	200	added ('OK')	text/plain	date:Wed,%2025%20Oct%202023%2005:19:07%20GMT	https://holistic-web.local/robots.txt		(from )
00:19:07	151383/151383	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2005:19:07%20GMT	https://holistic-web.local/	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/holistic-web.local/index.html	(from )
00:19:09	3395/3395	---M--	200	added ('OK')	image/png	etag:%22d43-6087956782557%22	https://holistic-web.local/wp-content/themes/veggycommons_hydrogen_child/custom/images/2021/07/favicon-32x32.png?6537f937	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/holistic-web.local/wp-content/themes/veggycommons_hydrogen_child/custom/images/2021/07/favicon-32x326691.png	(from https://holistic-web.local/)
00:19:09	59133/59133	---M--	200	added ('OK')	image/png	etag:%22e6fd-608795677e3af%22	https://holistic-web.local/wp-content/themes/veggycommons_hydrogen_child/custom/images/2021/07/android-icon-192x192.png?6537f937	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/holistic-web.local/wp-content/themes/veggycommons_hydrogen_child/custom/images/2021/07/android-icon-192x1926691.png	(from https://holistic-web.local/)
00:19:10	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2005:19:11%20GMT	https://gmpg.org/xfn/11	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/gmpg.org/xfn/11.html	(from https://holistic-web.local/)
00:19:12	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2025%20Oct%202023%2005:19:12%20GMT	https://holistic-web.local/xmlrpc.php	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/holistic-web.local/xmlrpc.php	(from https://holistic-web.local/)
00:19:14	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://holistic-web.local/)
00:19:14	2067/2067	---M-Z	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680-gzip%22	https://gmpg.org/xfn/default.css	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/gmpg.org/xfn/default.css	(from https://gmpg.org/xfn/11)
00:19:14	4170/4170	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2005:19:15%20GMT	https://gmpg.org/xfn/.	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/gmpg.org/xfn/.html	(from https://gmpg.org/xfn/11)
00:19:14	16269/16269	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2005:19:16%20GMT	https://gmpg.org/xfn/intro	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
00:19:14	7342/7342	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Oct%202023%2005:19:16%20GMT	https://gmpg.org/xfn/faq	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/gmpg.org/xfn/faq.html	(from https://gmpg.org/xfn/11)
00:19:15	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2025%20Oct%202023%2005:19:15%20GMT	https://holistic-web.local/wp-content/themes/veggycommons_hydrogen_child/custom/images/2021/07/android-icon-192x192.png?6537f937	D:/Vishvambhar/Temporal-Documents/repositories/holistic-web/holistic-web/holistic-web.local/wp-content/themes/veggycommons_hydrogen_child/custom/images/2021/07/android-icon-192x1926691.png	(from https://holistic-web.local/)
00:19:15	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://holistic-web.local/)
